Unnamed: 0,Unnamed: 0.1,features_used,target,random_state,model_type,scaled,alpha,coeffs,train_score,test_score,cross_val_score,output,intercept,model_id
10.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'garage_type_attchd', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.56746018e-03  1.49813555e-02  4.83531128e-03  2.14988163e-03
  1.96666878e-02  1.84980227e-01  1.27377727e-04  4.04260206e-02
  2.22983783e-01  4.70136114e-02  3.96114353e-01  4.74976975e-07
  1.55366566e-02  8.36740064e-04  1.14048486e-03  6.66686541e-08
 -1.40627443e-03  4.15655035e-06 -4.87324163e-04  5.21641830e-02
  6.56746018e-03  8.04028900e-05 -1.58490184e-02  7.82452724e-05
  2.70365469e-02  6.27975868e-04  8.99123168e-03  2.56688220e-02
  5.19404803e-02  1.06792940e-01  3.56808078e-02  1.15662190e-02
  3.51223551e-02 -4.29663079e-02]",0.9094589794518232,0.8865330382749126,0.9027572987753112,submission10.csv,1.902969624689512,10.0
11.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.62606746e-03  1.48480630e-02  4.86549170e-03  2.19420586e-03
  1.94666265e-02  1.86067493e-01  1.27021569e-04  4.00705343e-02
  2.24699082e-01  4.69289780e-02  3.97148820e-01  4.71742127e-07
  1.44118533e-02  9.92756216e-04  1.59407786e-03  6.74831794e-08
 -1.38437555e-03  4.17088925e-06 -4.87589906e-04  5.21431487e-02
  6.62606745e-03  7.65124177e-05 -1.45517364e-02  7.84827489e-05
  2.73405310e-02  6.31291752e-04  2.67944928e-02  5.02275695e-02
  1.05171058e-01  3.63488851e-02  1.46608736e-02  3.48773571e-02
 -4.31909948e-02]",0.9093894697356392,0.8868335824487457,0.9027246607428144,submission11.csv,1.7922513246939131,11.0
12.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.72599068e-03  1.46218351e-02  4.99035071e-03  2.24036222e-03
  1.97162061e-02  1.81731340e-01  1.26338982e-04  3.95060082e-02
  2.28442256e-01  4.70507917e-02  3.86827728e-01  4.75435127e-07
  1.47960733e-02  1.10104046e-03  1.24723087e-03  3.40706747e-08
 -1.02718816e-03  5.59720986e-06  5.01052625e-02  6.72599068e-03
  7.69777106e-05 -1.39011752e-02  7.66782517e-05  2.76138216e-02
  6.45761016e-04  2.73161670e-02  4.98656088e-02  1.07063878e-01
  3.55663599e-02  9.41625002e-03  3.44503572e-02 -4.36490766e-02]",0.9091633422016736,0.8869671170424454,0.9026113066268696,submission12.csv,1.6741911665594174,12.0
13.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.78903254e-03  1.36326846e-02  5.33289846e-03  2.24208672e-03
  1.96233464e-02  1.82118566e-01  1.25534665e-04  3.97926668e-02
  2.27143172e-01  4.67090550e-02  3.97120152e-01  5.02651236e-07
  1.61692881e-02  1.10202152e-03  1.36465680e-03  3.28899932e-08
 -1.36801180e-03  5.66828344e-06  5.22594000e-02  6.78903254e-03
  8.14162448e-05 -1.48325951e-02  7.64348695e-05  2.73256421e-02
  5.82342867e-04  2.75051032e-02  5.15589164e-02  1.09111499e-01
  3.72574939e-02]",0.9089829841905506,0.8870589631082937,0.9032774078429529,submission13.csv,1.7848446438102832,13.0
14.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.82411753e-03  1.38703973e-02  5.31107184e-03  2.25662647e-03
  1.98070044e-02  1.81510203e-01  1.23595661e-04  3.87398846e-02
  2.28453685e-01  4.52736318e-02  3.63145946e-01  4.94356193e-07
  1.66397646e-02  1.08232639e-03  6.47775341e-04  3.22521179e-08
  5.66039121e-06  4.50561200e-02  6.82411753e-03  8.11799042e-05
 -1.60731652e-02  7.65751379e-05  2.66548526e-02  5.82323317e-04
  3.01175741e-02  5.06101236e-02  1.07029194e-01  3.63995366e-02]",0.9089304794321712,0.8877166155385132,0.9034016170574322,submission14.csv,1.8127138309997548,14.0
15.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.82411753e-03  1.38703973e-02  5.31107184e-03  2.25662647e-03
  1.98070044e-02  1.81510203e-01  1.23595661e-04  3.87398846e-02
  2.28453685e-01  4.52736318e-02  3.63145946e-01  4.94356193e-07
  1.66397646e-02  1.08232639e-03  6.47775341e-04  3.22521179e-08
  5.66039121e-06  4.50561200e-02  6.82411753e-03  8.11799042e-05
 -1.60731652e-02  7.65751379e-05  2.66548526e-02  5.82323317e-04
  3.01175741e-02  5.06101236e-02  1.07029194e-01  3.63995366e-02]",0.9089304794321712,0.8877166155386487,0.9034016170587452,submission15.csv,1.8127138310043591,15.0
,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.ridge.RidgeCV'>,0,1.122277356208507,"[ 6.80568764e-03  1.39091766e-02  5.62888155e-03  2.26524015e-03
  2.00043510e-02  1.84578956e-01  1.25352388e-04  3.93451170e-02
  2.17862922e-01  4.63348519e-02  3.53145268e-01  4.89986082e-07
  1.50515916e-02  1.16649322e-03  2.38880178e-03  3.23125974e-08
  5.65526745e-06  4.53113526e-02  6.80568764e-03  8.77858583e-05
 -1.32330277e-02  8.03159033e-05  2.67603542e-02  5.80666459e-04
  3.03847554e-02  4.91443720e-02  1.02647789e-01  3.44218845e-02]",0.9089054334685248,0.8879536136290421,0.9035509781966573,submission16.csv,1.8537750355208473,16.0
,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.coordinate_descent.LassoCV'>,0,0.0001325087291997954,"[ 1.36310024e-02  1.39380619e-02  5.95774221e-03  2.27664210e-03
  1.91749288e-02  1.85871815e-01  1.25660935e-04  3.88878456e-02
  2.15762900e-01  4.57666583e-02  3.60772835e-01  5.06366592e-07
  1.19475571e-02  1.07971941e-03  2.10638662e-03  3.24440216e-08
  5.69795217e-06  4.50619046e-02  2.27424866e-05  9.05258206e-05
 -8.16865880e-03  8.12496416e-05  2.53426131e-02  5.91276850e-04
  2.73380926e-02  4.60953952e-02  9.79071258e-02  2.77811644e-02]",0.9088937309327796,0.8879333270195174,0.9033506843530306,submission17.csv,1.812005284983698,17.0
,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.coordinate_descent.LassoCV'>,1,0.0009637578663841089,"[ 0.04075877  0.01326746  0.00991724  0.06682179  0.0184288   0.05255091
  0.02706043  0.02638359  0.0784894   0.02708753  0.09335852  0.00568311
  0.00746195  0.00179889  0.0022059   0.01543437  0.0276443   0.04710963
  0.          0.02738045 -0.          0.03277252  0.01613217  0.01235422
  0.00715534  0.01185877  0.01374438  0.00519576]",0.9088181524350349,0.8874619043127558,0.9034823141780087,submission18.csv,12.036055699469589,18.0
,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'lot_area', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'central_air_y', 'neighborhood_nridght', 'neighborhood_stonebr', 'neighborhood_noridge']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,1,model has none,"[ 0.02058331  0.01334593  0.00958415  0.06848527  0.01836651  0.05827489
  0.02665554  0.02588655  0.07226095  0.02706747  0.09302114  0.00552659
  0.01510036  0.00231484  0.00035086  0.01593893  0.0276404   0.0486106
  0.02058331  0.03426083 -0.00798895  0.03330602  0.01672748  0.01216875
  0.00748972  0.01258587  0.01436886  0.00537408]",0.9089304794321711,0.8877166155378544,0.9034269992149262,submission19.csv,12.036055699469589,19.0
